Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/blog/area-agencies-on-aging-the-other-aaa-what-you-need-to-know/,alittlehelp.org,desktop,/participating-providers/,No,2,0,0,30.50,2,0.00,1
/blog/category/webinars/,(direct),desktop,/,No,2,0,0,53.00,2,0.00,2
/blog/category/webinars/,(direct),desktop,/blog/technology-and-aging/,No,2,0,0,305.00,2,0.00,1
/blog/category/webinars/,duckduckgo,desktop,/guide-to-aging-in-place/,No,2,0,0,81.00,2,0.00,1
/blog/category/webinars/,google,mobile,/about/volunteer/,No,2,0,0,18.00,2,0.00,1
/blog/category/webinars/,google,mobile,/guide-to-aging-in-place/,No,2,0,0,7.50,2,0.00,1
/blog/category/webinars/,hs_email,desktop,/about/,No,2,0,0,31.00,2,0.00,1
/blog/dementia-and-alzheimers-the-differences-and-similarities/,(direct),desktop,/,No,2,0,0,15.00,2,0.00,2
/blog/do-you-have-too-much-stuff/,app.asana.com,desktop,/blog/,No,2,0,0,179.50,2,0.00,1
/blog/downsizing-home-sharing/,(direct),desktop,/,No,2,0,0,2.50,2,0.00,1
/blog/end-of-life-planning-checklist/,google,desktop,/blog/end-of-life-planning-checklist/,No,2,1,0,11.00,2,56.00,1
/blog/end-of-life-planning-checklist/,google,mobile,/blog/end-of-life-planning-checklist/,No,2,2,0,0.00,2,0.00,2
/blog/falls-are-preventable-heres-how/?fbclid=IwAR019nEPoux1gKCPu8yc5GUyZ5QUW35ArFRCRLizPJuPs6y9Hvy_AY8NtFc,lm.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR019nEPoux1gKCPu8yc5GUyZ5QUW35ArFRCRLizPJuPs6y9Hvy_AY8NtFc,Yes,2,1,0,396.00,2,854.00,1
/blog/falls-are-preventable-heres-how/?fbclid=IwAR046iHy0QDzCO7Z--keZcH_7dJSGI5JoZZKuCyiqLZ4cH-pq_X9HnKhmog,lm.facebook.com,mobile,/blog/falls-are-preventable-heres-how/?fbclid=IwAR046iHy0QDzCO7Z--keZcH_7dJSGI5JoZZKuCyiqLZ4cH-pq_X9HnKhmog,Yes,2,2,0,0.00,2,0.00,1
